Logit Regression Results;;;;
Dep. Variable:;TARGET;No. Observations:;307511;
Model:;Logit;Df Residuals:;307389;
Method:;MLE;Df Model:;121;
Date:;Mon, 23 Dec 2019;Pseudo R-squ.:;-inf;
Time:;12:48:19;Log-Likelihood:;-inf;
converged:;False;LL-Null:;-86271.;
Covariance Type:;nonrobust;LLR p-value:;1.000;
;;;;
;coef;std err;z;P>|z|
const;4,24E+08;4.57e+13;9.28e-09;1.000
SK_ID_CURR;-4,24E+08;4.57e+13;#CAMPO!;1.000
CNT_CHILDREN;-3.033.077;6.83e+65;#CAMPO!;1.000
AMT_INCOME_TOTAL;-16.641;0.030;-55.245;0.000
AMT_CREDIT;-3,03E-03;1.24e-07;-24.510;0.000
AMT_ANNUITY;#CAMPO!;0.015;-23.973;0.000
AMT_GOODS_PRICE;#CAMPO!;0.022;-15.001;0.000
REGION_POPULATION_RELATIVE;#CAMPO!;0.010;-14.352;0.000
DAYS_BIRTH;#CAMPO!;0.033;-7.531;0.000
DAYS_EMPLOYED;#CAMPO!;0.087;-6.118;0.000
DAYS_REGISTRATION;#CAMPO!;0.013;-6.035;0.000
DAYS_ID_PUBLISH;#CAMPO!;0.090;-5.734;0.000
OWN_CAR_AGE;#CAMPO!;0.188;-4.133;0.000
FLAG_MOBIL;#CAMPO!;0.189;-3.830;0.000
FLAG_EMP_PHONE;#CAMPO!;0.017;-3.607;0.000
FLAG_WORK_PHONE;0.0059;0.001;3.965;0.000
FLAG_CONT_MOBILE;0.0155;0.004;3.971;0.000
FLAG_PHONE;0.2611;0.065;4.047;0.000
FLAG_EMAIL;25.761;0.617;4.178;0.000
CNT_FAM_MEMBERS;0.1564;0.028;5.597;0.000
REGION_RATING_CLIENT;0.3270;0.055;5.982;0.000
REGION_RATING_CLIENT_W_CITY;0.0058;0.001;6.028;0.000
HOUR_APPR_PROCESS_START;0.2814;0.047;6.036;0.000
REG_REGION_NOT_LIVE_REGION;0.2182;0.035;6.273;0.000
REG_REGION_NOT_WORK_REGION;0.0205;0.003;7.043;0.000
LIVE_REGION_NOT_WORK_REGION;1,59E-02;2.19e-06;7.295;0.000
REG_CITY_NOT_LIVE_CITY;0.2640;0.035;7.446;0.000
REG_CITY_NOT_WORK_CITY;0.0354;0.004;8.976;0.000
LIVE_CITY_NOT_WORK_CITY;8.09e-06;8.25e-07;9.801;0.000
EXT_SOURCE_1;9,97E-02;9.32e-06;10.703;0.000
EXT_SOURCE_2;5.79e-05;4.81e-06;12.045;0.000
EXT_SOURCE_3;0.2237;0.018;12.365;0.000
APARTMENTS_AVG;2,65E-02;2.05e-06;12.902;0.000
BASEMENTAREA_AVG;0.1153;0.006;18.473;0.000
YEARS_BEGINEXPLUATATION_AVG;291.348;1.544;18.873;0.000
YEARS_BUILD_AVG;7,91E-02;4.19e-06;18.886;0.000
COMMONAREA_AVG;0.3590;0.016;22.972;0.000
ELEVATORS_AVG;2,51E-03;1.08e-07;23.197;0.000
ENTRANCES_AVG;2,09E-04;6.2e-08;3.367;0.001
FLOORSMAX_AVG;0.0214;0.006;3.442;0.001
FLOORSMIN_AVG;0.2517;0.073;3.456;0.001
LANDAREA_AVG;#CAMPO!;0.310;-2.707;0.007
LIVINGAPARTMENTS_AVG;16.930;0.645;2.626;0.009
LIVINGAREA_AVG;0.1522;0.059;2.560;0.010
NONLIVINGAPARTMENTS_AVG;0.0077;0.003;2.398;0.016
NONLIVINGAREA_AVG;0.7037;0.302;2.332;0.020
APARTMENTS_MODE;#CAMPO!;0.084;-2.296;0.022
BASEMENTAREA_MODE;#CAMPO!;0.165;-2.209;0.027
YEARS_BEGINEXPLUATATION_MODE;0.1286;0.060;2.152;0.031
YEARS_BUILD_MODE;#CAMPO!;0.000;-2.119;0.034
COMMONAREA_MODE;#CAMPO!;0.130;-2.082;0.037
ELEVATORS_MODE;0.0759;0.037;2.049;0.040
ENTRANCES_MODE;-55.447;2.719;-2.040;0.041
FLOORSMAX_MODE;#CAMPO!;0.095;-2.039;0.041
FLOORSMIN_MODE;0.1235;0.061;2.040;0.041
LANDAREA_MODE;#CAMPO!;0.012;-1.967;0.049
LIVINGAPARTMENTS_MODE;48.151;2.604;1.849;0.064
LIVINGAREA_MODE;-43.262;2.418;-1.789;0.074
NONLIVINGAPARTMENTS_MODE;0.0577;0.033;1.747;0.081
NONLIVINGAREA_MODE;-12.990;0.767;-1.693;0.091
APARTMENTS_MEDI;#CAMPO!;0.100;-1.686;0.092
BASEMENTAREA_MEDI;-11.890;0.714;-1.666;0.096
YEARS_BEGINEXPLUATATION_MEDI;25.082;1.533;1.636;0.102
YEARS_BUILD_MEDI;-11.247;0.720;-1.561;0.119
COMMONAREA_MEDI;#CAMPO!;0.046;-1.533;0.125
ELEVATORS_MEDI;-21.971;1.446;-1.519;0.129
ENTRANCES_MEDI;#CAMPO!;0.039;-1.514;0.130
FLOORSMAX_MEDI;0.0080;0.006;1.428;0.153
FLOORSMIN_MEDI;24.717;1.745;1.416;0.157
LANDAREA_MEDI;0.0517;0.037;1.384;0.166
LIVINGAPARTMENTS_MEDI;19.925;1.467;1.359;0.174
LIVINGAREA_MEDI;10.848;0.810;1.340;0.180
NONLIVINGAPARTMENTS_MEDI;0.0029;0.002;1.325;0.185
NONLIVINGAREA_MEDI;#CAMPO!;0.056;-1.320;0.187
TOTALAREA_MODE;33.492;2.552;1.312;0.189
OBS_30_CNT_SOCIAL_CIRCLE;24.448;1.987;1.230;0.219
DEF_30_CNT_SOCIAL_CIRCLE;-22.348;1.853;-1.206;0.228
OBS_60_CNT_SOCIAL_CIRCLE;23.464;1.982;1.184;0.237
DEF_60_CNT_SOCIAL_CIRCLE;0.1094;0.100;1.090;0.276
DAYS_LAST_PHONE_CHANGE;-13.394;1.317;-1.017;0.309
FLAG_DOCUMENT_2;0.8371;0.835;1.002;0.316
FLAG_DOCUMENT_3;#CAMPO!;0.627;#CAMPO!;0.342
FLAG_DOCUMENT_4;#CAMPO!;0.642;#CAMPO!;0.366
FLAG_DOCUMENT_5;10.640;1.231;0.864;0.387
FLAG_DOCUMENT_6;-19.939;2.336;#CAMPO!;0.393
FLAG_DOCUMENT_7;#CAMPO!;0.305;#CAMPO!;0.397
