                    Logit Regression Results                    ;;;;;;
Dep. Variable:  ;TARGET          ;  No. Observations:  ;307511;;;
Model:          ;Logit           ;  Df Residuals:      ;307389;;;
Method:         ;MLE             ;  Df Model:          ;121;;;
Date:           ;Mon; 23 Dec 2019;  Pseudo R-squ.:     ;;;
Time:           ;13:23:07;  Log-Likelihood:    ;    -inf;;;
converged:      ;False           ;  LL-Null:           ; -86271.;;;
Covariance Type:;nonrobust       ;  LLR p-value:       ;1.000;;;
;;;;;;
;;;;;;
                            ;   coef   ; std err ;    z    ;P>|z| ;  [0.025 ;  0.975] 
const                       ;424300000,00; 4.57e+13; 9.28e-09;1000,00;#CAMPO!; 8.96e+13
FLAG_MOBIL                  ;-424400000,00; 4.57e+13;#CAMPO!;1000,00;#CAMPO!; 8.96e+13
FLAG_DOCUMENT_4             ;-3033077,00; 6.83e+65;#CAMPO!;1000,00;#CAMPO!; 1.34e+66
CNT_CHILDREN                ;    0.2640;    0.035;7.446; 0.000;    0.195;    0.334
AMT_CREDIT                  ;0,00; 1.08e-07;23.197; 0.000;  2.3e-06; 2.73e-06
AMT_ANNUITY                 ;  8.09e-06; 8.25e-07;9.801; 0.000; 6.47e-06; 9.71e-06
AMT_GOODS_PRICE             ;0,00; 1.24e-07;-24.510; 0.000;#CAMPO!;#CAMPO!
DAYS_BIRTH                  ;0,03; 2.05e-06;12.902; 0.000; 2.25e-05; 3.05e-05
DAYS_EMPLOYED               ;0,08; 4.19e-06;18.886; 0.000; 7.09e-05; 8.73e-05
DAYS_REGISTRATION           ;0,02; 2.19e-06;7.295; 0.000; 1.17e-05; 2.02e-05
DAYS_ID_PUBLISH             ;  5.79e-05; 4.81e-06;12.045; 0.000; 4.85e-05; 6.73e-05
OWN_CAR_AGE                 ;    0.0058;    0.001;6.028; 0.000;    0.004;    0.008
FLAG_EMP_PHONE              ;291348,00;1.544;18.873; 0.000;26.109;32.160
FLAG_WORK_PHONE             ;    0.2237;    0.018;12.365; 0.000;    0.188;    0.259
FLAG_PHONE                  ;   -0.0612;    0.017;-3.607; 0.000;   -0.094;   -0.028
CNT_FAM_MEMBERS             ;   -0.2479;    0.033;-7.531; 0.000;   -0.312;   -0.183
REGION_RATING_CLIENT_W_CITY ;    0.2814;    0.047;6.036; 0.000;    0.190;    0.373
REG_CITY_NOT_LIVE_CITY      ;    0.2182;    0.035;6.273; 0.000;    0.150;    0.286
EXT_SOURCE_1                ;   -0.1435;    0.010;-14.352; 0.000;   -0.163;   -0.124
EXT_SOURCE_2                ;-16641,00;    0.030;-55.245; 0.000;-1.723;-1.605
EXT_SOURCE_3                ;   -0.3529;    0.015;-23.973; 0.000;   -0.382;   -0.324
DEF_30_CNT_SOCIAL_CIRCLE    ;    0.1564;    0.028;5.597; 0.000;    0.102;    0.211
DAYS_LAST_PHONE_CHANGE      ;0,10; 9.32e-06;10.703; 0.000; 8.15e-05;    0.000
FLAG_DOCUMENT_2             ;25761,00;    0.617;4.178; 0.000;1.368;3.785
FLAG_DOCUMENT_3             ;    0.3270;    0.055;5.982; 0.000;    0.220;    0.434
FLAG_DOCUMENT_6             ;    0.2611;    0.065;4.047; 0.000;    0.135;    0.388
FLAG_DOCUMENT_13            ;   -0.7776;    0.188;-4.133; 0.000;-1.146;   -0.409
FLAG_DOCUMENT_14            ;   -0.7232;    0.189;-3.830; 0.000;-1.093;   -0.353
FLAG_DOCUMENT_16            ;   -0.5300;    0.087;-6.118; 0.000;   -0.700;   -0.360
FLAG_DOCUMENT_18            ;   -0.5172;    0.090;-5.734; 0.000;   -0.694;   -0.340
AMT_REQ_CREDIT_BUREAU_YEAR  ;    0.0354;    0.004;8.976; 0.000;    0.028;    0.043
CODE_GENDER                 ;    0.3590;    0.016;22.972; 0.000;    0.328;    0.390
FLAG_OWN_CAR                ;   -0.3243;    0.022;-15.001; 0.000;   -0.367;   -0.282
NAME_TYPE_SUITE             ;    0.0155;    0.004;3.971; 0.000;    0.008;    0.023
NAME_INCOME_TYPE            ;    0.0205;    0.003;7.043; 0.000;    0.015;    0.026
NAME_EDUCATION_TYPE         ;    0.1153;    0.006;18.473; 0.000;    0.103;    0.127
NAME_FAMILY_STATUS          ;   -0.0760;    0.013;-6.035; 0.000;   -0.101;   -0.051
OCCUPATION_TYPE             ;    0.0059;    0.001;3.965; 0.000;    0.003;    0.009
AMT_INCOME_TOTAL            ;0,00;  6.2e-08;3.367; 0.001; 8.73e-08;  3.3e-07
FLAG_DOCUMENT_5             ;    0.2517;    0.073;3.456; 0.001;    0.109;    0.394
WALLSMATERIAL_MODE          ;    0.0214;    0.006;3.442; 0.001;    0.009;    0.034
FLAG_DOCUMENT_15            ;   -0.8386;    0.310;-2.707; 0.007;-1.446;   -0.232
REGION_POPULATION_RELATIVE  ;16930,00;    0.645;2.626; 0.009;    0.429;2.957
AMT_REQ_CREDIT_BUREAU_DAY   ;    0.1522;    0.059;2.560; 0.010;    0.036;    0.269
WEEKDAY_APPR_PROCESS_START  ;    0.0077;    0.003;2.398; 0.016;    0.001;    0.014
FLAG_DOCUMENT_20            ;    0.7037;    0.302;2.332; 0.020;    0.112;1.295
TOTALAREA_MODE              ;   -0.1917;    0.084;-2.296; 0.022;   -0.355;   -0.028
FLAG_CONT_MOBILE            ;   -0.3635;    0.165;-2.209; 0.027;   -0.686;   -0.041
FLAG_DOCUMENT_8             ;    0.1286;    0.060;2.152; 0.031;    0.011;    0.246
ORGANIZATION_TYPE           ;   -0.0009;    0.000;-2.119; 0.034;   -0.002;#CAMPO!
FLAG_DOCUMENT_11            ;   -0.2702;    0.130;-2.082; 0.037;   -0.524;   -0.016
HOUSETYPE_MODE              ;    0.0759;    0.037;2.049; 0.040;    0.003;    0.148
REG_REGION_NOT_LIVE_REGION  ;   -0.1930;    0.095;-2.039; 0.041;   -0.379;   -0.007
BASEMENTAREA_AVG            ;-55447,00;2.719;-2.040; 0.041;-10.873;   -0.216
AMT_REQ_CREDIT_BUREAU_HOUR  ;    0.1235;    0.061;2.040; 0.041;    0.005;    0.242
AMT_REQ_CREDIT_BUREAU_QRT   ;   -0.0238;    0.012;-1.967; 0.049;   -0.048;#CAMPO!
