                            ;   coef   ; std err ;    z    ;P>|z| ;  [0.025 ;  0.975] 
CNT_CHILDREN                ;2640;35;7446;0,000;195;334
AMT_CREDIT                  ;0,002514;0,0000108;23197;0,000;0,000023;0,000273
AMT_ANNUITY                 ;0,000809;0,0000825;9801;0,000;0,000647;0,000971
AMT_GOODS_PRICE             ;-0,003031;0,0000124;-24510;0,000;-0,000327;-0,000279
DAYS_BIRTH                  ;0,02651;0,000205;12902;0,000;0,00225;0,00305
DAYS_EMPLOYED               ;0,07913;0,000419;18886;0,000;0,00709;0,00873
DAYS_REGISTRATION           ;0,01594;0,000219;7295;0,000;0,00117;0,00202
DAYS_ID_PUBLISH             ;0,00579;0,000481;12045;0,000;0,00485;0,00673
OWN_CAR_AGE                 ;58;1;6028;0,000;4;8
FLAG_EMP_PHONE              ;291348;1544;18873;0,000;26109;32160
FLAG_WORK_PHONE             ;2237;18;12365;0,000;188;259
FLAG_PHONE                  ;-612;17;-3607;0,000;-94;-28
CNT_FAM_MEMBERS             ;-2479;33;-7531;0,000;-312;-183
REGION_RATING_CLIENT_W_CITY ;2814;47;6036;0,000;190;373
REG_CITY_NOT_LIVE_CITY      ;2182;35;6273;0,000;150;286
EXT_SOURCE_1                ;-1435;10;-14352;0,000;-163;-124
EXT_SOURCE_2                ;-16641;30;-55245;0,000;-1723;-1605
EXT_SOURCE_3                ;-3529;15;-23973;0,000;-382;-324
DEF_30_CNT_SOCIAL_CIRCLE    ;1564;28;5597;0,000;102;211
DAYS_LAST_PHONE_CHANGE      ;0,09972;0,000932;10703;0,000;0,00815;0
FLAG_DOCUMENT_2             ;25761;617;4178;0,000;1368;3785
FLAG_DOCUMENT_3             ;3270;55;5982;0,000;220;434
FLAG_DOCUMENT_6             ;2611;65;4047;0,000;135;388
FLAG_DOCUMENT_13            ;-7776;188;-4133;0,000;-1146;-409
FLAG_DOCUMENT_14            ;-7232;189;-3830;0,000;-1093;-353
FLAG_DOCUMENT_16            ;-5300;87;-6118;0,000;-700;-360
FLAG_DOCUMENT_18            ;-5172;90;-5734;0,000;-694;-340
AMT_REQ_CREDIT_BUREAU_YEAR  ;354;4;8976;0,000;28;43
CODE_GENDER                 ;3590;16;22972;0,000;328;390
FLAG_OWN_CAR                ;-3243;22;-15001;0,000;-367;-282
NAME_TYPE_SUITE             ;155;4;3971;0,000;8;23
NAME_INCOME_TYPE            ;205;3;7043;0,000;15;26
NAME_EDUCATION_TYPE         ;1153;6;18473;0,000;103;127
NAME_FAMILY_STATUS          ;-760;13;-6035;0,000;-101;-51
OCCUPATION_TYPE             ;59;1;3965;0,000;3;9
AMT_INCOME_TOTAL            ;0,0002089;0,00000062;3367;1,000;0,00000873;0,0000033
FLAG_DOCUMENT_5             ;2517;73;3456;1,000;109;394
